ASL,MMG,DATA_INIZIO,DATA_FINE,MOT_FINE,GRUPPO_A,GRUPPO_B,GRUPPO_C,GRUPPO_D,DISTRETTO
030302,34546,2002-01-01,2011-12-28,cessazione f.a.,A,,,,010
030302,34546,2011-12-29,,,R,,,,010
030302,34572,2005-02-18,,,G,,,,005
030302,34708,2011-01-01,,,G,,,,004
030302,34879,2005-05-01,2012-12-31,cessazione f.a.,A,,,,012
030302,34879,2013-01-01,,,R,,,,012
030302,34979,2007-10-01,,,R,,,,003
030302,35041,2005-01-28,,,G,,,,005
030302,35224,2005-02-01,,,G,,,,011
030302,35793,2011-01-01,,,R,,,,012
030302,35999,2007-10-01,,,R,,,,009
030302,36197,2005-04-15,2012-12-27,cessazione f.a.,A,,,,012
030302,36197,2012-12-28,,,R,,,,012
030302,37595,2008-12-31,,,G,,,,009
030302,37892,2007-01-10,,,R,,,,002
030302,39021,2007-04-01,,,R,,,,001
030302,39024,2002-09-02,,,G,,,,003
030302,39025,2005-03-14,,,G,,,,012
